Place,Date_start,Date_end,Type_of_Exchange,Currency_From,Amount_From,Currency_To,Amount_To,Notes,Source
Florence,1343.10,,Accounting,"Florence, florin of",1,"Florence, soldo of",65.5,4,289
Florence,1343.11,,Accounting,"Florence, florin of",1,"Florence, soldo of",65.67,4,289
Florence,1343.12,,Accounting,"Florence, florin of",1,"Florence, soldo of",67.58,4,289
Florence,1343.12,,Accounting for rents received,"Florence, florin of",1,"Florence, soldo of",66,4,289
Florence,1344,,Manual,"Florence, florin of",1,"Florence, soldo of",66,4,31
Curia,1344,,Bill of exchange,"Florence, florin of",1,"Florence, soldo of",65,4,439
Florence,1344.01,,Accounting,"Florence, florin of",1,"Florence, soldo of",65.75,4,289
Florence,1344.02,,Accounting,"Florence, florin of",1,"Florence, soldo of",65.67,4,289
Florence,1344.02,,Wage accounting,"Florence, florin of",1,"Florence, soldo of",65.5,4,289
Florence,1344.03,,Wage and other accounting,"Florence, florin of",1,"Florence, soldo of",65.17,4,289
Florence,1344.04,,Accounting,"Florence, florin of",1,"Florence, soldo of",65.17,4,289
Florence,1344.04,,Wage accounting,"Florence, florin of",1,"Florence, soldo of",66,4,289
Florence,1344.04.22,,Commercial,"Florence, florin of",1,"Florence, soldo of",65.17,4,438
Florence,1344.05,,Accounting,"Florence, florin of",1,"Florence, soldo of",65.33,4,289
Florence,1344.06,,Accounting,"Florence, florin of",1,"Florence, soldo of",65.33,4,289
Florence,1344.07,,Accounting,"Florence, florin of",1,"Florence, soldo of",68,4,289
Florence,1344.08,,Accounting,"Florence, florin of",1,"Florence, soldo of",64.67,4,289
Florence,1344.09,,Accounting,"Florence, florin of",1,"Florence, soldo of",65.42,4,289
Florence,1344.10,,Accounting,"Florence, florin of",1,"Florence, soldo of",65.25,4,289
Florence,1344.10,,Wage accounting,"Florence, florin of",1,"Florence, soldo of",65.5,4,289
Florence,1344.11,,Accounting,"Florence, florin of",1,"Florence, soldo of",65.5,4,289
Florence,1344.12,,Commercial,"Florence, florin of",1,"Florence, soldo of",66,4,427
Florence,1344.12,,Accounting,"Florence, florin of",1,"Florence, soldo of",65.17,4,289
Florence,1345,,Manual,"Florence, florin of",1,"Florence, soldo of",62.67,4,31
Florence,1345,,Commercial,"Florence, florin of",1,"Florence, soldo of",62,4,111
Florence,1345.01,,Accounting,"Florence, florin of",1,"Florence, soldo of",65.5,4,289
Florence,1345.02,,Wage accounting,"Florence, florin of",1,"Florence, soldo of",65.5,4,289
