year,Argentina,Australia,Austria,Belgium,Brazil,Canada,Chile,China,Colombia,Denmark,"Europe, Eurozone",Finland,France,Germany,Greece,Hong Kong,India,Indonesia,Ireland,Israel,Italy,Japan,Korea,Malaysia,Mexico,Netherlands,New Zealand,Norway,Peru,Philippines,Portugal,Singapore,South Africa,Spain,Sri Lanka,Sweden,Switzerland,Taiwan,Thailand,United Kingdom,Venezuela
1881,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.2000,,,,,,0.2070,
1882,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.3000,,,,,,0.2053,
1883,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.3000,,,,,,0.2062,
1884,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.2000,,,,,,0.2060,
1885,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.3000,,,,,,0.2059,
1886,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.3000,,,,,,0.2057,
1887,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.2000,,,,,,0.2061,
1888,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.3000,,,,,,0.2053,
1889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.4000,,,,,,0.2054,
1890,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.4000,,,,,,0.2057,
1891,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.5000,,,,,,0.2057,
1892,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0000,,,,,,0.2052,
1893,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.2000,,,,,,0.2056,
1894,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.2000,,,,,,0.2050,
1895,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0000,,,,,,0.2046,
1896,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.3000,,,,,,0.2053,
