year,Argentina,Australia,Austria,Belgium,Brazil,Canada,Chile,China,Colombia,Denmark,Finland,France,Germany,Greece,Hong Kong,India,Indonesia,Ireland,Israel,Italy,Japan,Korea,Malaysia,Mexico,Netherlands,New Zealand,Norway,Peru,Philippines,Portugal,Singapore,South Africa,Spain,Sri Lanka,Sweden,Switzerland,Taiwan,Thailand,United Kingdom,Venezuela
1915,,,0.24636763,,,0.00499252,,,,0.03163137,,0.08895584,0.13615796,,,,,,,0.15236165,,,,,0.00300093,,,,,,,,-0.02524184,,,0.03717303,,,0.03583919,
1916,,,0.2009865,,,-0.00199402,,,,-0.09320997,,0.05553103,0.12547863,-0.02297443,,,,,,0.07940678,,,,,-0.03213541,,-0.1009392,,,,,,-0.05107941,,-0.11119213,-0.0203276,,,-0.00190476,
1917,0.03256954,,0.11228132,,-0.05224386,0.0,,,,-0.0589306,,-0.02111485,0.04935329,-0.01291406,-0.22442445,,,,,0.13663725,-0.01020417,,,,-0.00372846,,-0.06557157,,,0.0317594,,,-0.12328212,,-0.12233687,-0.09046198,,,0.00047653,
1918,-0.00010015,,,,-0.01137663,,-0.0539831,,,-0.00690188,,-0.02601201,0.30884915,0.01858112,-0.20333024,,,,,0.04593873,-0.03125254,,,,-0.11413821,,-0.00893507,,,0.04395242,,,-0.08593286,,-0.00999219,-0.08518484,,,0.0,
1919,0.01135244,,,,-0.0546496,,0.27175047,,,0.26146819,,0.2634868,1.4299716,,,,,,,0.11225605,0.03125254,,,,0.18380239,,0.22711431,,,,,,0.21745564,,0.25720277,0.18474291,,,0.0734612,
1920,0.08772901,,,0.54808665,0.17188966,0.06835532,0.20068095,,,0.38937838,,0.66448755,0.55296661,,,,,,,0.82746697,0.02030527,,,,0.12871456,,0.39659489,,,,,,0.21814356,,0.22020188,0.11604565,,,0.189013,
1921,0.21708442,,,-0.00888802,0.53995659,-0.00268217,0.4295984,,,-0.1205475,,-0.05736963,0.3741264,,,,,,,0.14626004,0.03941397,,,,0.02266405,,0.10336832,,,,,,0.16367934,,-0.1123643,-0.02632339,,,-0.04919332,
1922,-0.11393041,,2.33902826,-0.03133422,0.01313819,-0.09575791,-0.01742019,,,-0.16300478,-0.26727724,-0.09536237,1.64579059,0.41893609,-0.06351426,,,,,-0.10221676,0.00961546,,-0.14683424,-0.0024325,-0.13464719,,-0.16047617,,,0.40265765,,,-0.13469772,,-0.13198311,-0.09404068,,,-0.14026245,
1923,0.0404063,,1.93565195,0.38669484,0.23581478,0.00491401,-0.001798,0.05561496,,0.13158669,-0.21529156,0.29909865,4.75488207,0.656823,0.05183914,-0.08076136,,,,0.0329785,-0.01445808,,-0.05226917,0.00340384,-0.01555772,,0.04860847,,,0.45006718,,,0.06882771,,-0.01473503,0.05415753,,,-0.03240608,
1924,0.00564132,,0.0,0.1167712,-0.06727669,-0.0068864,0.14925931,-0.00142184,,0.09363263,0.06764809,0.14951822,15.97422528,-0.04332865,0.00816589,-0.01886848,,,,0.0543578,0.16518527,,0.04288278,0.00048532,0.0229984,,0.17888697,,,0.22819911,,,0.08032506,,0.00122077,-0.0089799,,,0.03505977,
1925,-0.15666706,,-9.21386899,-0.02429658,-0.1086663,-0.01291623,-0.0956329,-0.07681139,,-0.23397137,-0.00564799,0.09394771,-25.35868097,0.13663335,-0.07437035,-0.13217177,,,,0.09135635,0.00410678,,-0.09133061,-0.0176216,-0.04974591,,-0.24909638,,,-0.39799026,,,-0.07278024,,-0.01219478,-0.05880626,,,-0.08910158,
1926,-0.00835059,,-0.00174366,0.37647878,-0.16857866,0.0,-0.0399961,0.12976856,,-0.21598997,0.00035803,0.3853211,0.00023801,0.21613931,0.05813133,-0.00362977,,,,0.02241894,-0.14058195,,-0.00207988,0.02197891,0.00156504,,-0.22226317,,,-0.01686307,,,-0.03772543,,0.00310951,0.00071483,,,-0.00629695,
1927,-0.04398694,,-0.0001689,-1.44967133,0.1983649,0.0,0.00094153,0.12878454,0.00784548,-0.01887573,0.00047634,-0.19069689,0.00142687,-0.04614152,0.08040363,0.0,,,,-0.28190362,-0.00472814,,0.00398731,0.02292364,-0.00020051,,-0.15378222,,,0.01898756,,,-0.13561685,,-0.00187527,0.00264237,,,-0.00048603,
1928,-0.00192771,,0.00015483,-0.00089101,-0.01138189,0.0009995,-0.00659725,-0.04880335,-9.769e-05,-0.00066835,0.00095199,0.0007845,-0.00404811,0.00984171,-0.01742282,-0.00364299,,,,-0.0194191,0.01877989,,-0.00421242,-0.01858524,-0.00293202,,-0.02425576,,,0.11839136,,,0.02764285,,0.00053615,0.00011556,,,-0.00097276,
1929,0.01408272,0.00481929,0.00118153,0.00112754,0.01400653,0.00696867,0.00701944,0.09634147,0.0117517,0.00235062,0.00051591,0.00125392,0.00214516,0.00846873,0.05976713,0.00727276,,,,0.00451089,0.00925933,,0.00482876,-0.00192586,0.00152733,0.00241955,0.00016011,,,-0.00087154,,0.00193517,0.12234891,,0.00061622,-0.00102128,,,0.00194458,
1930,0.13030368,0.04695698,-0.00223766,-0.00287008,0.09719327,-0.00597017,-0.00152073,0.33687919,0.00057915,-0.00317999,-0.00035734,-0.00227389,-0.00190658,-0.00193032,0.33166307,0.00361664,,,,-0.00078532,-0.07162966,,0.00089581,0.02239789,-0.00156756,0.03186952,-0.00285917,,,-0.00504301,,-0.00096712,0.22994221,,-0.00262826,-0.00531592,,,-0.00097182,
1931,0.22416182,0.26447918,0.00472276,0.00171468,0.42147458,0.03529778,0.00095374,0.28770451,-0.00077228,0.0658976,0.05278119,0.0012552,0.00949675,0.00254967,0.33032103,0.06971463,,,,0.00595302,0.01474228,,0.06494417,-0.010898,-0.00012068,0.11986161,0.06583384,,,0.05735638,,0.00626961,0.20071736,,0.06144887,-0.00096957,,,0.0694789,
1932,0.13273857,0.22876154,0.00449118,0.00107192,-0.01318862,0.08933687,0.42260924,0.03175501,0.01352474,0.28566285,0.42896473,-0.00192266,-0.00497455,0.44057537,0.03640848,0.24643911,,,,0.01570361,0.55192075,,0.26097555,0.40276176,-0.0016105,0.25999755,0.33047341,,,0.28348602,,0.00861662,0.17114064,,0.3127762,-0.00021343,,,0.25729299,
1933,-0.22174193,-0.18400364,-0.10128326,-0.25191289,-0.11157301,-0.04321104,0.0294077,-0.2743602,0.15371504,-0.01262121,-0.18508309,-0.2476349,-0.25077178,0.14000934,-0.22743427,-0.19077827,,,,-0.26934878,0.09121601,,-0.19777525,0.12497579,-0.2496637,-0.06004442,-0.17418108,,,-0.20329806,,0.13864224,-0.28710576,,-0.17630706,-0.24673977,,,-0.18935888,
1934,0.77585742,-0.17627924,-0.19602142,-0.26310021,-0.05661286,-0.09347194,-0.27854531,-0.17578838,0.27943739,-0.16534091,-0.17460517,-0.26670553,-0.25476429,-0.26227024,-0.27350878,-0.17344388,,,,-0.24375166,-0.14606381,,-0.18106201,0.01312318,-0.26447158,-0.168477,-0.16666843,,,-0.16278851,,-0.18298568,-0.23916741,,-0.16487527,-0.26485588,,,-0.1730427,
1935,0.02781636,0.03162319,-0.00201289,0.23422691,0.01580115,0.01503788,0.69103984,-0.07014785,0.0980809,0.02778018,0.02961333,-0.00487292,-0.02229392,0.00170971,-0.21948191,0.02616972,,,,0.03739146,0.03211955,,0.03153663,-0.00138793,-0.00493094,0.02817088,0.02758985,,,0.0333989,,0.02752016,-0.00462619,,0.02772404,-0.00402154,,,0.02733089,
1936,-0.01454021,-0.0156866,0.00208806,0.0853503,-0.0324299,-0.00398804,-0.00797691,0.20641577,-0.01899865,-0.01388238,-0.01268213,0.07666028,-0.00080548,0.01038311,0.41908205,-0.01487016,,,,0.12314777,-0.00865806,,-0.01881404,0.0005554,0.04895782,-0.01935672,-0.01398694,,,-0.01237449,,-0.01415694,0.10508691,,-0.01397094,0.0736831,,,-0.01382056,
1937,0.00538675,0.00394478,0.00116441,0.0023993,-0.00878652,-0.0009995,-0.0088782,0.0048672,0.00631635,0.00542163,0.00420965,0.412856,0.00201248,0.02551379,0.03256987,0.00373832,,,,0.32649534,0.00578036,,0.00488174,0.00055509,0.15818626,0.00477518,0.00537984,,,0.00751741,,0.00392542,0.71022742,,0.0054691,0.27467712,,,0.00545231,
1938,0.01104585,0.01174182,-0.00774431,-0.00106377,0.39145391,0.00598207,-0.00036712,0.32646629,0.01368997,0.01114878,0.01124985,0.34058487,0.00120555,0.01077158,0.0077662,0.01848481,,,,5.261e-05,0.0143064,,0.01838181,0.22646765,0.00066032,0.01183913,0.01109133,,,0.01179114,,0.01120051,0.07772047,,0.01142899,0.00290888,,,0.01081623,
1939,0.05504464,0.09637081,,0.00251407,-0.02682904,0.03419972,-0.00021206,0.58671098,-0.01960681,0.07013582,0.07803546,0.13673535,0.00240674,0.09415964,0.10379379,0.09431068,,,,0.01233809,0.08961216,,0.09547057,0.13648609,0.03087334,0.10032629,0.0560783,,,0.09202824,,0.09553027,-0.64092583,,0.04906969,0.0152751,,,0.09775218,
1940,0.03554866,0.14756671,,-0.0016866,-0.00887523,0.12108636,0.00113734,0.68307045,-0.00039951,0.05235989,0.06407238,0.18674244,0.0012012,0.19404187,0.17884253,0.10135249,,,,0.03034645,0.10354068,,0.09644302,0.03991829,0.00388598,0.14692602,0.0225064,,,0.08432384,,0.10081676,0.13135383,,0.00788572,-0.00668959,,,0.14658332,
1941,0.0,,,,-0.00021199,-0.02595085,7.75e-05,0.12151461,0.00142609,,-0.07171165,-2.95442305,2.06589482,,-0.06875184,0.0,,,,-0.00587944,0.0,,-0.00329397,-0.1020278,,-0.05155133,,,,-0.0755686,,0.0,0.02077508,,-0.00111933,-0.02326166,,,-0.05147473,
1942,,,,,,,,,,,,-0.79398821,,,,0.0,,,,,,,0.00460852,-0.0014387,,-0.00064537,,,,,,0.0,,,,,,,-0.00080678,
1943,,,,,,,,,,,,-0.01784169,,,,0.0,,,,,,,,-0.00041144,,-0.00452929,,,,,,0.0,,,,,,,0.0,
1944,,,,,,,,,,,,0.00179856,,,,0.0,,,,,,,,-0.00020578,,-0.00064872,,,,,,0.0,,,,,,,0.0,
1945,,,,,,,,,,,,3.81951751,,,,0.0,,,,,,,,0.0,,0.00323939,,,,,,-0.0027894,,,,,,,0.00120992,
1946,,,,0.00135696,,,,,,,,0.85187441,5.31860785,,,0.0,,,,,,,,0.0,0.00318134,0.00258398,,,,,,-0.00359785,,,,,,,-0.00040314,
1947,,,,0.00052721,,0.01389555,,,,0.00058436,,0.00024383,0.1769234,,,0.0,,,,0.1769234,,,,0.00020578,0.0013981,0.00096727,0.00080673,,,0.00564608,,-0.00080128,0.0,,-0.07323908,0.0,,,0.00080613,
1948,,,,4.335e-05,,0.0033064,,,,0.00031291,,0.9534872,0.7584942,,,-0.00301659,,,,0.7584942,,,,0.08704567,0.0024514,-0.08399831,8.064e-05,,,0.00223668,,0.0,0.0,,0.0,0.0,,,-0.00040298,
1949,0.62874725,,,0.03601133,0.0,-0.0128272,0.08701112,,0.10763066,0.08713304,,0.07131002,0.02384547,,,0.08675958,,,0.36473211,0.02384547,,,,0.40181202,0.08703021,-0.04077818,0.08690554,-0.08351664,0.0,0.03502578,,0.08928001,,,0.08802413,0.00210045,,,0.08902467,-0.11160218
1950,0.44104055,,,0.10032961,0.0,0.0150254,0.28768346,,0.0,0.27684648,,0.05414106,-4.94382291,,,0.28282264,,,0.0,0.0594112,,,0.27052892,0.08685362,0.27401966,0.27500623,0.27655985,0.00940867,0.0,0.11156436,,0.27514041,,,0.27610488,0.00764098,,,0.27487923,0.11266827
1951,0.03090134,0.0,,0.00246356,0.0,-0.03728298,0.15415128,,0.20252426,0.0001884,,0.00069997,0.0,,,0.0,,,0.0,0.00062419,,,-0.00183781,0.00057834,-0.00044639,0.00055448,0.0,0.02183348,0.0,-0.00100692,,0.00027836,,,0.00027062,0.00327998,,,0.00028007,-0.11655177
1952,-0.03375848,0.00222966,,-0.00095567,0.0,-0.07286687,0.10178223,,0.04481402,-4.347e-05,,0.0,0.0,,,-0.00208986,,0.00251995,0.0,0.0,,,0.00752671,-0.00208358,-0.00191911,0.00249135,0.0,0.02072613,0.0,-0.00327778,,0.00055648,,,3.865e-05,-0.00376596,,,0.00251713,-0.01204471
1953,0.0,-0.00670394,,-0.00656934,0.81676285,0.00509425,0.13554495,,0.0,-0.00014493,,0.0,0.0,,,-0.00629593,,-0.00588979,1.02166237,0.0,,,0.00022819,-0.00173964,-0.00097411,-0.00721424,0.0,0.24294618,0.0,-0.00097287,,-0.00725855,,,0.0001546,-0.00727158,,,-0.00700774,-0.02982542
